STATE,CONSTITUENCY,CANDIDATE,PARTY,VOTES
KARNATAKA,VIRAJPET,BASAVARAJU H D,ALL INDIA MAHILA EMPOWERMENT PARTY,1015
KARNATAKA,VIRAJPET,NANJAPPA M K,INDEPENDENT,666
KARNATAKA,VIRAJPET,H D DODDAIAH,INDEPENDENT,599
KARNATAKA,VIRAJPET,NONE OF THE ABOVE,NONE OF THE ABOVE,1733
KARNATAKA,MADIKERI,APPACHU RANJAN M P,BHARATIYA JANATA PARTY,70631
KARNATAKA,MADIKERI,B A JIVIJAYA,JANATA DAL (SECULAR),54616
KARNATAKA,MADIKERI,K P CHANDRAKALA,INDIAN NATIONAL CONGRESS,38219
KARNATAKA,MADIKERI,BHARGAVA C J,AKHIL BHARAT HINDU MAHASABHA,1124
KARNATAKA,MADIKERI,A MOHAMMED HANEEF,INDEPENDENT,1005
KARNATAKA,MADIKERI,RASHEEDA BEGUM,ALL INDIA MAHILA EMPOWERMENT PARTY,545
KARNATAKA,MADIKERI,P S YADURAPPA,INDEPENDENT,483
KARNATAKA,MADIKERI,K B RAJU,BHARATIYA REPUBLICAN PAKSHA,368
KARNATAKA,MADIKERI,B M THIMMAIAH,INDEPENDENT,331
KARNATAKA,MADIKERI,C U KISHAN,INDEPENDENT,283
KARNATAKA,MADIKERI,M KHALEEL,INDEPENDENT,238
KARNATAKA,MADIKERI,NONE OF THE ABOVE,NONE OF THE ABOVE,1615
KARNATAKA,SULLIA,ANGARA.S,BHARATIYA JANATA PARTY,95205
KARNATAKA,SULLIA,DR.B.RAGHU,INDIAN NATIONAL CONGRESS,69137
KARNATAKA,SULLIA,RAGHU,BAHUJAN SAMAJ PARTY,1472
KARNATAKA,SULLIA,SUNDARA.K,INDEPENDENT,564
KARNATAKA,SULLIA,SANJEEV BABURAO KURANDWADA,INDEPENDENT,391
KARNATAKA,SULLIA,CHANDRASHEKARA.K.PALLATHADKA,INDEPENDENT,333
KARNATAKA,SULLIA,NONE OF THE ABOVE,NONE OF THE ABOVE,1310
KARNATAKA,PUTTUR,SANJEEVA MATANDOOR,BHARATIYA JANATA PARTY,90073
KARNATAKA,PUTTUR,SHAKUNTHALA.T. SHETTY,INDIAN NATIONAL CONGRESS,70596
KARNATAKA,PUTTUR,I. C. KAILAS GOWDA,JANATA DAL (SECULAR),1424
KARNATAKA,PUTTUR,ABDUL MAJEED KOLPE,JANATA DAL (UNITED),527
KARNATAKA,PUTTUR,VIDYASHRI. S,INDEPENDENT,454
KARNATAKA,PUTTUR,SHABANA. S. SHEIK,ALL INDIA MAHILA EMPOWERMENT PARTY,425
KARNATAKA,PUTTUR,B. SHEKHAR MADAVU,PRAJA PARIVARTAN PARTY,404
KARNATAKA,PUTTUR,CHETHAN KUMAR PUTTUR,INDEPENDENT,344
KARNATAKA,PUTTUR,M. SHESHAPPA RAO (M. S. RAO),SAMANYA JANATHA PARTY (LOKTANTRIK),340
KARNATAKA,PUTTUR,AMARNATHA .B. K.,INDEPENDENT,244
KARNATAKA,PUTTUR,ABDUL BASEER BOODIYAR,INDEPENDENT,213
KARNATAKA,PUTTUR,NONE OF THE ABOVE,NONE OF THE ABOVE,1227
KARNATAKA,BANTVAL,RAJESH NAIK U.,BHARATIYA JANATA PARTY,97802
KARNATAKA,BANTVAL,B RAMANATHA RAI,INDIAN NATIONAL CONGRESS,81831
KARNATAKA,BANTVAL,SHAMEER,ALL INDIA MAHILA EMPOWERMENT PARTY,760
KARNATAKA,BANTVAL,BALAKRISHNA POOJARY PANOLIBAIL,LOK AWAZ DAL,713
KARNATAKA,BANTVAL,IBRAHIM KAILAR,INDEPENDENT,503
